Data;Provincia;Nido;Materna;Elementare;Media;Superiore;Totale
08/11/2021 - 14/11/2021;Massa Carrara;1;2;10;5;7;25
08/11/2021 - 14/11/2021;Pisa;7;10;41;19;10;87
08/11/2021 - 14/11/2021;Prato;3;7;16;12;6;44
08/11/2021 - 14/11/2021;Pistoia;3;3;23;16;12;57
08/11/2021 - 14/11/2021;Siena;2;8;25;16;18;69
;;;;;;;
15/11/2021 - 21/11/2021;Arezzo;3;4;19;9;1;36
15/11/2021 - 21/11/2021;Firenze;15;24;47;29;26;141
15/11/2021 - 21/11/2021;Grosseto;5;7;59;15;10;96
15/11/2021 - 21/11/2021;Livorno;3;19;37;21;5;85
15/11/2021 - 21/11/2021;Lucca;3;8;30;10;14;65
15/11/2021 - 21/11/2021;Massa Carrara;2;5;7;6;8;28
15/11/2021 - 21/11/2021;Pisa;4;10;26;14;16;70
15/11/2021 - 21/11/2021;Prato;3;3;23;9;11;49
15/11/2021 - 21/11/2021;Pistoia;2;1;31;15;9;58
15/11/2021 - 21/11/2021;Siena;3;10;22;24;40;99
;;;;;;;
22/11/2021 - 28/11/2021;Arezzo;2;5;30;22;6;65
22/11/2021 - 28/11/2021;Firenze;10;17;84;42;22;175
22/11/2021 - 28/11/2021;Grosseto;5;15;36;9;23;88
22/11/2021 - 28/11/2021;Livorno;8;20;28;11;9;76
22/11/2021 - 28/11/2021;Lucca;5;4;20;8;16;53
22/11/2021 - 28/11/2021;Massa Carrara;4;5;21;13;9;52
22/11/2021 - 28/11/2021;Pisa;8;10;38;13;14;83
22/11/2021 - 28/11/2021;Prato;2;7;18;21;9;57
22/11/2021 - 28/11/2021;Pistoia;10;9;65;24;15;123
22/11/2021 - 28/11/2021;Siena;5;10;32;15;22;84
;;;;;;;
29/11/2021 - 05/12/2021;Arezzo;3;22;79;22;8;134
29/11/2021 - 05/12/2021;Firenze;9;31;122;49;33;244
29/11/2021 - 05/12/2021;Grosseto;6;7;43;38;27;121
29/11/2021 - 05/12/2021;Livorno;3;19;47;24;12;105
29/11/2021 - 05/12/2021;Lucca;6;20;36;15;11;88
29/11/2021 - 05/12/2021;Massa Carrara;3;4;48;24;12;91
29/11/2021 - 05/12/2021;Pisa;5;9;25;23;9;71
29/11/2021 - 05/12/2021;Prato;4;4;21;22;14;65
29/11/2021 - 05/12/2021;Pistoia;8;5;59;25;15;112
29/11/2021 - 05/12/2021;Siena;2;5;37;20;14;78
;;;;;;;
06/12/2021 - 12/12/2021;Arezzo;11;25;89;28;20;173
06/12/2021 - 12/12/2021;Firenze;34;52;236;70;46;438
06/12/2021 - 12/12/2021;Grosseto;5;11;30;33;24;103
06/12/2021 - 12/12/2021;Livorno;9;12;76;31;33;161
06/12/2021 - 12/12/2021;Lucca;6;15;44;35;17;117
06/12/2021 - 12/12/2021;Massa Carrara;4;2;44;16;16;82
06/12/2021 - 12/12/2021;Pisa;7;27;55;20;17;126
06/12/2021 - 12/12/2021;Prato;1;4;23;12;5;45
06/12/2021 - 12/12/2021;Pistoia;6;12;90;26;28;162
06/12/2021 - 12/12/2021;Siena;4;7;30;11;15;67
;;;;;;;
13/12/2021 - 19/12/2021;Arezzo;4;25;103;50;60;242
13/12/2021 - 19/12/2021;Firenze;31;57;297;104;89;578
13/12/2021 - 19/12/2021;Grosseto;17;17;62;28;20;144
13/12/2021 - 19/12/2021;Livorno;14;18;112;48;46;238
13/12/2021 - 19/12/2021;Lucca;11;26;67;23;29;156
13/12/2021 - 19/12/2021;Massa Carrara;2;9;20;2;17;50
13/12/2021 - 19/12/2021;Pisa;11;27;73;34;28;173
13/12/2021 - 19/12/2021;Prato;6;4;24;25;12;71
13/12/2021 - 19/12/2021;Pistoia;13;22;74;44;28;181
13/12/2021 - 19/12/2021;Siena;4;6;19;13;30;72
;;;;;;;
20/12/2021 - 26/12/2021;Arezzo;11;24;153;51;202;441
20/12/2021 - 26/12/2021;Firenze;57;87;364;190;298;996
20/12/2021 - 26/12/2021;Grosseto;12;20;62;25;39;158
20/12/2021 - 26/12/2021;Livorno;19;22;113;55;49;258
20/12/2021 - 26/12/2021;Lucca;20;45;92;48;83;288
20/12/2021 - 26/12/2021;Massa Carrara;11;17;41;25;45;139
20/12/2021 - 26/12/2021;Pisa;28;47;177;53;50;355
20/12/2021 - 26/12/2021;Prato;19;13;63;52;41;188
20/12/2021 - 26/12/2021;Pistoia;19;22;99;30;38;208
20/12/2021 - 26/12/2021;Siena;14;19;60;70;119;282
;;;;;;;
27/12/2021 - 02/01/2022;Arezzo;50;67;299;166;515;1.097
27/12/2021 - 02/01/2022;Firenze;220;227;1.077;766;1.779;4.069
27/12/2021 - 02/01/2022;Grosseto;19;24;82;61;122;308
27/12/2021 - 02/01/2022;Livorno;88;59;165;96;208;616
27/12/2021 - 02/01/2022;Lucca;67;70;277;198;492;1.104
27/12/2021 - 02/01/2022;Massa Carrara;48;28;135;77;170;458
27/12/2021 - 02/01/2022;Pisa;70;110;400;289;595;1.464
27/12/2021 - 02/01/2022;Prato;67;47;178;144;325;761
27/12/2021 - 02/01/2022;Pistoia;44;53;224;141;291;753
27/12/2021 - 02/01/2022;Siena;37;77;275;159;467;1.015
;;;;;;;
03/01/2022 - 09/01/2022;Arezzo;71;94;309;248;538;1.260
03/01/2022 - 09/01/2022;Firenze;354;440;1.270;1.081;2.148;5.293
03/01/2022 - 09/01/2022;Grosseto;55;44;168;111;272;650
03/01/2022 - 09/01/2022;Livorno;201;100;261;205;417;1.184
03/01/2022 - 09/01/2022;Lucca;104;117;385;298;568;1.472
03/01/2022 - 09/01/2022;Massa Carrara;33;60;166;117;275;651
03/01/2022 - 09/01/2022;Pisa;126;137;460;369;737;1.829
03/01/2022 - 09/01/2022;Prato;85;97;274;214;414;1.084
03/01/2022 - 09/01/2022;Pistoia;74;91;322;209;478;1.174
03/01/2022 - 09/01/2022;Siena;65;114;291;207;424;1.101
;;;;;;;
10/01/2022 - 16/01/2022;Arezzo;108;157;410;298;471;1.444
10/01/2022 - 16/01/2022;Firenze;339;569;1.577;1.034;1.799;5.318
10/01/2022 - 16/01/2022;Grosseto;50;63;190;157;280;740
10/01/2022 - 16/01/2022;Livorno;202;186;461;313;555;1.717
10/01/2022 - 16/01/2022;Lucca;99;172;546;336;554;1.707
10/01/2022 - 16/01/2022;Massa Carrara;47;85;192;133;262;719
10/01/2022 - 16/01/2022;Pisa;133;249;669;423;668;2.142
10/01/2022 - 16/01/2022;Prato;82;134;347;241;387;1.191
10/01/2022 - 16/01/2022;Pistoia;62;135;388;255;491;1.331
10/01/2022 - 16/01/2022;Siena;79;131;321;235;321;1.087
;;;;;;;
17/01/2022 - 23/01/2022;Arezzo;130;257;739;365;546;2.037
17/01/2022 - 23/01/2022;Firenze;475;1.020;2.618;1.327;2.153;7.593
17/01/2022 - 23/01/2022;Grosseto;73;154;441;237;405;1.310
17/01/2022 - 23/01/2022;Livorno;286;346;775;358;645;2.410
17/01/2022 - 23/01/2022;Lucca;114;292;736;323;606;2.071
17/01/2022 - 23/01/2022;Massa Carrara;44;109;315;191;255;914
17/01/2022 - 23/01/2022;Pisa;169;398;1.102;510;695;2.874
17/01/2022 - 23/01/2022;Prato;93;205;636;288;415;1.637
17/01/2022 - 23/01/2022;Pistoia;118;266;620;322;555;1.881
17/01/2022 - 23/01/2022;Siena;88;218;449;220;355;1.330
;;;;;;;
24/01/2022 - 30/01/2022;Arezzo;127;335;700;352;501;2.015
24/01/2022 - 30/01/2022;Firenze;420;1015;2333;1118;1647;6.533
24/01/2022 - 30/01/2022;Grosseto;74;163;402;227;370;1.236
24/01/2022 - 30/01/2022;Livorno;300;338;726;343;574;2.281
24/01/2022 - 30/01/2022;Lucca;112;271;731;349;575;2.038
24/01/2022 - 30/01/2022;Massa Carrara;55;115;270;129;204;773
24/01/2022 - 30/01/2022;Pisa;150;399;926;427;567;2.469
24/01/2022 - 30/01/2022;Prato;102;222;564;268;422;1.578
24/01/2022 - 30/01/2022;Pistoia;96;237;576;301;463;1.673
24/01/2022 - 30/01/2022;Siena;90;242;459;234;298;1.323
